Question,Claude_Answer,Correct_Answer,Is_Correct
자연재해대책법령상 개발사업의 부지면적이 5만제곱미터 미만이거나 개발사업의 길이가 10킬로미...,2,2,True
하천의 홍수재해 피해저감을 위한 구조적 대책이 아닌 것은?,4,4,True
다음에서 설명하는 시방서는?\n\n시설물의 안전 및 공사시행의 적정성과 품질확보 등을 위해...,4,4,True
방재계획의 기초자료 조사 시 조사항목과 관련자료의 연결로 틀린 것은?,4,4,True
소하천 설계의 내용 중 틀린 것은?,2,2,True
자연재해위험개선지구 유형에 대한 설명이 바르게 연결된 것은?,2,2,True
"사면재해 발생 위험요인을 모두 고른 것은?\n\n㉠ 폐광, 송전탑 하부, 임도 불안정\n㉡...",2,2,True
저수지∙댐의 안전관리 및 재해예방에 관한 법률 시행령상 재해위험 저수지∙댐으로 지정할 수 ...,4,4,True
자연재해대책법령상 방재관리대책대행자(이하 「대행자」라 한다)등록요건에 관한 설명으로 틀린것...,4,4,True
토사유출량 산정시 중량단위 토사유출량은 체적단위 토사유출량으로 환산이 필요하다. 입경0.0...,2,3,False
다음의 내용이 뜻하는 것으로 옳은 것은?\n\n건설공사 수급인 하자담보책임 규정에 의하면 ...,3,1,False
"자연재해대책법령상 홍수,호우 등으로부터 재해를 예방하기 위한 방재정책에 적용하기 위하여 처...",3,3,True
제방 붕괴의 원인이 아닌 것은?,1,1,True
자연재난 구호 및 복구비용 부담기준등에 관한 규정상 국고 추가지원을 산정시 고려되지 않는 ...,1,1,True
"자연재해위험 개선지구 관리지침의 자연재해위험 개선지구 비용편익 분석에서 침수면적, 침수심,...",2,4,False
재난 및 안전관리 기본법령상 지역재난안전대책본부에 관한 사항으로 틀린 것은?,1,1,True
다음 복합재해에 관한 설명으로 옳은 것은?,2,2,True
자연재해위험개선지구 정비계획에 관한설명으로 틀린 것은?,3,3,True
재해영향평가등의 협의 실무지침상 주차장 저류한계 수심은?,2,1,False
"지표의 상태에 따른 1ha당 토사유출량이 나지 200m$^3$/년, 초지 15m$^3$/년...",3,4,False
"직접인건비 산정을 위한 소요인력이 다음과 같을 때 복합재해 (하천, 내수) 실시설계에 있어...",2,2,True
"방재시설의 결함에 따른 보수,보강공법에 관한 사항으로 틀린 것은?",2,2,True
"자연재해대책법령상 우수유출저감대책을 수립해야하는 사업에 해당하는지 않는것은? (단, 기타 ...",1,3,False
재난 및 안전관리 기본법령상 국가기반시설의 분류로 틀린 것은?,1,1,True
경제성평가 지표 중 모든 타당한 경제적 자료를 단일계산화하여 평가나 순위매김 가능하도록 한...,2,1,False
자연재해위험개선지구 투자우선순위 결정을 위한 비용편익 분석방법중 간편법 편익 산정시 해당되...,2,2,True
재난 및 안전관리기본법령상 특별재난의 범위에 관한설명이다 ( )에 들어갈 내용으로 옳은 것...,2,1,False
자연재해대책법령상 자연재해저감종합계획수립 주기는 얼마인가?,2,4,False
재난 및 안전관리기본법령상 '사회재난'에 해당하는 것은?,4,4,True
재난 및 안전관리 기본법령상 국가안전관리기본계획을 작성할 책임을 가진 자는?,3,2,False
재난 및 안전관리 기본법령상 재난 및 사고유형별 재난관리주관기관 중 식용수(지방상수도포함)...,2,2,True
바람 방재시설에 해당하지 않는 것은?,2,2,True
산지지역에 취약한 재해유형으로 적합한 것은?,2,2,True
자연재해대책법령상 자연재해저감 종합계획의 수립에 관한 사항으로 ( )에 알맞은 내용은?\n...,3,3,True
하천재해의 발생원인이 아닌 것은?,1,1,True
재해연보에의거한 과거에 발생한 재해이력 현황조사시 필요없는 항목은?,2,2,True
재난 및 안전관리 기본법령상 재난의 대응 활동에 해당하는 것은?,1,2,False
다음중 피해주기와 홍수빈도율에 대한 설명으로 옳은 것을 모두 고른 것은?\n\nㄱ. 피해주...,1,3,False
방재성능 향상을 위한 통합 개선대책 사업의 시행계획 수립방법으로 옳은 것은?,1,1,True
사면보강공법 중 저항력 증가법이 아닌 것은?,3,3,True
재해지도 작성 기준등에 관한 지침상 대피장소 설치의 일반적인 기준은?,1,1,True
재난 및 안전관리 기본법령상 다중이용시설등의 위기상황 매뉴얼을 작성·관리하여야 하는 대상으...,3,3,True
다차원 홍수피해산정방법(MD-FDA)을 이용한 이재민 피해액 산정식에서 ( )에 알맞은 단...,4,4,True
산지 토석류 유출로 우수관거가 막혀 침수피해가 발생하였을 때 복합재해 유형은?,1,1,True
재해복구사업의 분석∙평가 시행지침상 재해복구사업의 분석∙평가에 관한 사항으로 틀린 것은?,2,2,True
도시∙군계획시설의 결정∙구조 및 설치기준에 관한 규칙상 방풍설비로 방풍림시설을 설치하지 않...,3,3,True
자연재해대책법령상 지구단위종합복구계획수립 대상 지역에 해당하지 않는 것은?,1,1,True
"면적 0.54km$^2$,유출계수 0.65인유역의 2시간동안 확률강우량 200mm를 배제 ...",2,2,True
급경사지 재해예방에 관한 법령상 붕괴위험지역의 계측관리에 관한 설명으로 틀린 것은?,2,1,False
"방재시설 피해현장 지반조사 중 지층의 분포, 층두께, 단층 파쇄대의 심도 및 규모, 원지반...",1,1,True
다음 설명은 비탈면 보호공법 중 어느 공법에 해당되는가?\n\n- 암반 비탈면에 많이 시공...,1,1,True
하천 현황조사시 포함되어야 할 사항이 아닌 것은?,1,1,True
하천제방의 유하 능력에 여유를 확보하기 위하여 여유고를 더 높게 하는경우에 해당하지 않는 ...,3,3,True
농경지 피해액 산정시 논과 밭의 침수심 경계선 높이는 몇m인가?,1,2,False
호우경보 발령 기준으로 옳은 것은?,2,2,True
빗물 배수펌프장의 용량부족에 의해 발생하는 내수침수의 해소대책이 아닌 것은?,3,4,False
조건을 활용할 때 침사지 유량(m$^3$/s)은?\n\n[조건]\n• 침사지 폭: 8m\n...,3,3,True
자연재해위험개선지구 관리지침상 피해액 산정시 도시유형별 구분에서 인구 100만명 미만의 일...,2,2,True
하천설계기준상 하천 제방고 결정을 위한 여유고에 대한 설명으로 틀린 것은?,3,3,True
사면보호시설 중 다음은 어떤옹벽에 관한 설명인가?\n\n- 사면활동 억제와 낙석방지를 기대...,1,4,False
하천에 설치되는 시설물중 제방 및 호안의 재해취약요인의 설명으로 틀린 것은?,1,1,True
방재시설의 유지∙관리 평가항목∙기준 및 평가방법 등에 관한 고시상 행정안전부장관이 재난책임...,3,3,True
집중호우 시 유출토사를 인위적으로 퇴적시켜 유입을 억제하는 침사지 시설의 구성요소가 아닌 ...,2,3,False
자연재해저감 종합계획 세부수립기준상 인문현황에 관한 사항으로 틀린 것은?,2,2,True
지형현황 조사를 위한 분석항목에 해당하지 않는 것은?,3,1,False
자연재해 저감대책 수립 시 공간적 구분의 순서로 맞는 것은?,2,2,True
대규모 복합재난 대응훈련 기본지침상 도상훈련에 관한 설명으로 틀린것?,3,3,True
사면재해 피해저감을 위한 보호공법적용으로 틀린 것은?,4,4,True
자연재해저감종합계획 수립시 연도별 피해현황 조사항목으로 틀린 것은?,3,4,False
빗물펌프장의 용량부족으로 인한 침수발생 시 개선대책이 아닌 것은?,1,1,True
재난 및 안전관리 기본법령상 다중이용시설 등의 위기상황 매뉴얼에 따라 주기적 훈련의 의무를...,1,1,True
"긴급보수를 위하여 대량의 콘크리트를 연속해서 타설할 경우, 이미 친콘크리트가 경화를 시작한...",4,4,True
방재시설 지반계측계획 수립시 계측위치의 선정조건과 가장 거리가 먼 것은?,3,1,False
자연재해대책법령상 방재시설의 정기적인 유지·관리 평가는 연 몇회 실시하는가?,2,1,False
방재성능 개선대책 수립시 고려하여야하는 방재시설물의 특성에 관한 설명으로 틀린 것은?,3,4,False
조건을 활용하였을 때 원단위법에 의한 연간 토사유출량(m$^3$/year)은?\n\n[조건...,4,4,True
"재해복구사업의 효과성, 경제성을 평가하는 경우 포함해야하는 사항이 아닌 것은?",2,2,True
일반자산의 총 직접피해액 산출 시 고려되지 않는 것은?,4,1,False
자연재해위험개선지구 관리지침상 다차원법의 농작물 피해액 산정에 필요한 요인이 아닌 것은?,2,2,True
"표와 같이 소유역 Ⅰ,Ⅱ,Ⅲ 으로 나누어진 유역면적과 유출계수를 가진유역의 전체 홍수량을 ...",2,3,False
재해복구사업 분석 및 평가에서 재해저감성평가에 관한 설명으로 틀린것은?,4,3,False
소규모 개발사업의 우수유출저감시설 계획에서 개발에 따른 불투수면적이 12000m$^2$이 ...,3,2,False
사방사업법령상 사방시설의 점검에 관한 사항으로 ( )에 알맞은 기준은?\n\n사방시설의 정...,2,2,True
시설물의 안전 및 유지관리에 관한 특별법령상 각 안전등급의 정밀안전진단 실시 시기로 옳은 ...,2,3,False
